id,category,en,zh,note_zh,note_en
224,3000字,difficult,"(指任務)需要精力或技術的,困難的[ to-v]",adj.困难的；艰难的；(人)难对付的；不易相处的<br><br><i>1</i>. The quest for gold was <em><em>difficult</em></em>.<br>寻找金矿是很困难的。<br><i>2</i>. The child is going through a <em><em>difficult</em></em> phase.<br>那孩子正经历困难的阶段。<br><i>3</i>. She handled a <em><em>difficult</em></em> argument skilfully.<br>她巧妙地应付了一场艰难的辩论。<br><i>4</i>. She is just being <em><em>difficult</em></em>.<br>她正在闹别扭呢。<br>,
225,3000字,dig,"掘(土);挖(洞,溝等)",v.挖；掘；翻土；探究；戳；捅<br>n.推；戳；挖掘；挖苦；<英口>住所<br><br><i>1</i>. Ten soldiers were told off to <em><em>dig</em></em> ditches.<br>十名战士被分派去挖沟。<br><i>2</i>. He was buried by an avalanche and had to be dug out.<br>他遇雪崩被埋住了，得把他挖出来。<br><i>3</i>. An old Greek statue was dug up here last month.<br>上个月在这儿挖出了一尊古希腊雕像。<br><i>4</i>. The workmen broke up the pavement to <em><em>dig</em></em> up the pipes under it.<br>工人们把柏油路刨开，把埋在下面的管子掘了出来。<br><i>5</i>. She gave me a sharp <em><em>dig</em></em> in the ribs.<br>轻轻的一戳就会使她禁不住要笑。<br>,
226,3000字,dining room,餐廳,餐厅<br><br><i>1</i>. Their <em><em>dining room</em></em> is very spacious.<br>他们的餐厅很宽敞。<br>,
227,3000字,dinner,晚餐;正餐[U][C],"n.晚餐；晚宴；主餐<br><br><i>1</i>. It's time for <em><em>dinner</em></em>.<br>该吃晚饭了。<br><i>2</i>. It is now his turn to set me up to a nice <em><em>dinner</em></em>.<br>现在轮到他请我吃一顿丰盛的晚餐了。<br><i>3</i>. We invite her to have Thanksgiving <em><em>dinner</em></em> with us.<br>我们邀请她和我们一起吃感恩节晚餐。<br><i>4</i>. Because my husband has gone to a stag <em><em>dinner</em></em>, I have to stay at home alone.<br>因为我丈夫去参加一个只许男人参加的宴会，我只好独自待在家里。<br>",
228,3000字,dirty,"髒的,污穢的","adj.脏的；肮脏的；下流的；卑鄙的；腐败的；不正当的<br>v.弄脏；玷污<br><br><i>1</i>. The clothes on the floor are <em><em>dirty</em></em>.<br>地板上的那些衣物是脏的.<br><i>2</i>. The tourist complained that the room was too <em><em>dirty</em></em>.<br>游客抱怨说房间太脏了。<br><i>3</i>. The <em><em>dirty</em></em> pub is a beastly place.<br>那个肮脏的小酒馆是一个叫人恶心的地方。<br><i>4</i>. They sat drinking and telling <em><em>dirty</em></em> stories.<br>他们坐在那里，边喝酒边讲下流故事。<br><i>5</i>. You'll <em><em>dirty</em></em> your hand if you play in the dirt.<br>如果你去玩泥巴，手会弄脏。<br>",
229,3000字,dish,"碟,盤",n.盘；碟；一道菜；菜肴；碟状物<br>vt.使成碟状；装盘<br>vi.闲谈<br><br><i>1</i>. The careless waiter dropped the <em><em>dish</em></em> onto the ground.<br>那个粗心的侍者把盘子摔到了地上。<br><i>2</i>. That <em><em>dish</em></em> is too shallow to serve soup in.<br>那只盘子太浅了，不能盛汤。<br><i>3</i>. This glass <em><em>dish</em></em> is very fragile.<br>这玻璃碟子十分易碎。<br><i>4</i>. He knows the recipe for this <em><em>dish</em></em>.<br>他知道这道菜的烹饪方法。<br><i>5</i>. She asked Mary to help her <em><em>dish</em></em> up the dinner.<br>她要玛丽帮她把菜肴分盛到盘子里。<br><i>6</i>. That salesman could really <em><em>dish</em></em> it out.<br>那个推销员确实能说会道。<br>,
230,3000字,do,"(does, did, done)做,幹,製作;實行;完成;解答,算出","v.做；干<br>n.注意事项；<非正式>聚会；<古>事情<br><br><i>1</i>. He is <em><em>do</em></em>ing his homework.<br>他正在做他的家庭作业。<br><i>2</i>. Do what I tell you.<br>按照我告诉你的去做。<br><i>3</i>. To tell you the truth, I hate to <em><em>do</em></em> it.<br>老实告诉你,我不愿意做这事。<br><i>4</i>. He did little work that day.<br>那天他没有干什么工作。<br>",
231,3000字,doctor,"(Dr.)醫生,醫師,大夫,博士",n.博士；医生<br>v.篡改，伪造；阉割<br><br><i>1</i>. He is a Doctor of Philosophy.<br>他是一位哲学博士。<br><i>2</i>. His illness was more serious than the <em><em>doctor</em></em> first thought.<br>他的病较医生原来以为的更严重。<br><i>3</i>. How else can the <em><em>doctor</em></em> save him?<br>医院还有别的方法可以救他吗？<br>,
232,3000字,dog,狗,"n.狗；家伙；卑鄙的人；没用的东西<br>vt.（灾难等）缠住；跟踪<br><br><i>1</i>. The <em><em>dog</em></em> kept a vigilant guard over the house.<br>这只狗警惕地守护着这所房屋。<br><i>2</i>. He is really a lucky <em><em>dog</em></em>.<br>他真是个幸运的家伙。<br><i>3</i>. You stole my watch, you <em><em>dog</em></em>.<br>你偷了我的手表，你这个卑鄙小人<br><i>4</i>. Her career was <em><em>dog</em></em>ged by misfortunes.<br>她一生屡遭不幸.<br>",
233,3000字,doll,"玩偶,洋娃娃",n.玩具娃娃；美貌女子；有吸引力的人<br>v.打扮<br><br><i>1</i>. My daughter has many beautiful <em><em>doll</em></em>s.<br>我女儿有许多漂亮的洋娃娃。<br><i>2</i>. She wanted very much a <em><em>doll</em></em> for Christmas.<br>她非常想要一个玩具娃娃作为圣诞节的礼物。<br><i>3</i>. My grand-daughter is a little <em><em>doll</em></em>.<br>我的孙女是个小可人儿。<br><i>4</i>. Hence with the alternating operation of the inflator the <em><em>doll</em></em> is raised or lowered to achieve an attractive effect.<br>因此，与交替运作的充气，娃娃是提高或降低要达到一个具吸引力的效果。<br><i>5</i>. She was all <em><em>doll</em></em>ed up in furs and jewels.<br>她以皮大衣和珠宝把自己打扮得漂漂亮亮。<br>,
234,3000字,dollar,"(美,加等國)元",n.美元<br><br><i>1</i>. The Japanese yen rebounded against the <em><em>dollar</em></em>.<br>日元与美元的比价回升了。<br><i>2</i>. Can you lend me five <em><em>dollar</em></em>s?<br>你能借给我五美元吗？<br><i>3</i>. The pound stayed firm against <em><em>dollar</em></em> in London but fell a little in New York.<br>在伦敦英镑对美元仍坚挺，但在纽约却跌了一点儿。<br>,
235,3000字,door,門,n.门；门口；途径<br><br><i>1</i>. He chiseled a hole in the <em><em>door</em></em> to fit a new lock.<br>他在门上凿了个孔，以便装一把新锁。<br><i>2</i>. Somebody opened the <em><em>door</em></em> and the candle blew out.<br>有人打开了门，蜡烛随之被吹灭了。<br><i>3</i>. He sprang up and rushed to the <em><em>door</em></em>.<br>他跳起身，跑到门口。<br><i>4</i>. He made for the <em><em>door</em></em> and tried to escape.<br>他向门口走去，企图逃跑。<br>,
236,3000字,down,向下;向樓下,"adv.向下<br>prep.沿着 ... 而下<br>adj.向下的；消沉的；无礼的<br>n.绒毛；汗毛<br>v.击倒；打败；吞下；被抑制<br><br><i>1</i>. Please sit <em><em>down</em></em>.<br>请坐下。<br><i>2</i>. He is walking <em><em>down</em></em> the seaside.<br>他正沿海边走去。<br><i>3</i>. I've been feeling <em><em>down</em></em> since I lost my job.<br>自从失去工作後,我的情绪一直处於低潮。<br><i>4</i>. She's terribly <em><em>down</em></em> on people who don't do things her way.<br>她对不按她的要求做事的人十分不满。<br><i>5</i>. A quilt stuffed with the <em><em>down</em></em> of the eider duck.<br>这条被子是用绒鸭毛做芯子的。<br><i>6</i>. Antiaircraft guns <em><em>down</em></em>ed three bombers.<br>高射炮击落了三架轰炸机。<br>",
237,3000字,dozen,"一打,十二個[C]",n.(一)打；十二个<br>adj.一打的；十二个的<br><br><i>1</i>. How much are those apples a <em><em>dozen</em></em>?<br>那些苹果一打多少钱？<br><i>2</i>. He gave me a <em><em>dozen</em></em> of roses for my birthday.<br>他在我生日那天送我了一打玫瑰。<br><i>3</i>. I had bred a <em><em>dozen</em></em> of chickens.<br>我饲养了12只小鸡。<br><i>4</i>. There were about a <em><em>dozen</em></em> of them.<br>大约有十二人。<br><i>5</i>. My mother bought a <em><em>dozen</em></em> eggs.<br>我妈妈买了一打鸡蛋。<br>,
238,3000字,draw,"劃,畫,繪製,描寫","v.拖；接近；画；提取；拉；绘制<br>n.平局；抽签；拉；拽；吸引人的事物<br><br><i>1</i>. The horses <em><em>draw</em></em> the wagon.<br>马拖货车。<br><i>2</i>. Our car broke down and we had to <em><em>draw</em></em> it to a garage.<br>我们的车坏了, 不得不把它拖到修车厂去。<br><i>3</i>. The season was <em><em>draw</em></em>ing to its dusty end.<br>喧嚣纷扰的社交季节逐渐接近尾声。<br><i>4</i>. Mary drew a house on the paper.<br>玛丽在纸上画了一栋房子。<br><i>5</i>. They had been dueling for hours and finally called a <em><em>draw</em></em>.<br>他们一直决斗了数小时，最后打成平局。<br>",
239,3000字,dream,夢[C],"n.梦；梦想<br>v.做梦；梦想<br><br><i>1</i>. I had some very strange <em><em>dream</em></em>s last night.<br>昨晚我做了很奇怪的梦。<br><i>2</i>. I have a recurrent <em><em>dream</em></em> that I've turned into an elephant.<br>我屡次梦见自己变成了大象。<br><i>3</i>. My son's <em><em>dream</em></em> is to be an astronaut.<br>我儿子的理想是当宇航员。<br><i>4</i>. His <em><em>dream</em></em> of becoming an artist has been fulfilled.<br>他成为一个艺术家的梦想实现了。<br><i>5</i>. She claims she never <em><em>dream</em></em>s.<br>她说她从来不做梦。<br>",
240,3000字,dress,給…穿衣;打扮;替…做衣服,"n.服装；女装<br>v.打扮；穿衣；穿着；给（某人）穿衣<br><br><i>1</i>. She wears a beautiful evening <em><em>dress</em></em>.<br>她穿着一件漂亮的晚礼服。<br><i>2</i>. She wore a diamond clip on her new <em><em>dress</em></em>.<br>她在新衣服上戴了一枚钻石别针。<br><i>3</i>. They tried to <em><em>dress</em></em> him up as a""national hero"".<br>他们想把他打扮成一个“民族英雄”。<br><i>4</i>. She always <em><em>dress</em></em>es in black.<br>她总穿着黑衣服。<br>",
241,3000字,drink,"飲,喝","v.喝；饮<br>n.饮料；酒；喝酒<br><br><i>1</i>. It is harmful to your health to <em><em>drink</em></em> too much.<br>过量喝酒对你的身体有害。<br><i>2</i>. It's not good to <em><em>drink</em></em> on an empty stomach.<br>空腹喝酒不好。<br><i>3</i>. Let us <em><em>drink</em></em> to the health of our father.<br>让我们举杯为父亲祝福。<br><i>4</i>. The deer lowered its head to <em><em>drink</em></em> from the pond.<br>鹿低下头去喝池塘里的水。<br><i>5</i>. Cold tea makes an excellent <em><em>drink</em></em> in summer.<br>在夏天，凉茶是一种很好的饮料。<br>",
242,3000字,drive,駕車旅行;(開車)兜風;車程[C],"vt.开车；驱赶；迫使<br>n.驾车；驱使；推进力；路；快车道；街；[计]驱动器<br><br><i>1</i>. He is too little to <em><em>drive</em></em> a car.<br>他太小了,不能开车。<br><i>2</i>. Don't drink and <em><em>drive</em></em>.<br>别喝了酒开车。<br><i>3</i>. They got a cat to <em><em>drive</em></em> out the mice.<br>他们找到一只猫来驱赶老鼠。<br><i>4</i>. A man <em><em>drive</em></em>n by jealousy is capable of anything.<br>嫉妒心可使人什么都做得出来。<br><i>5</i>. We went for a <em><em>drive</em></em> in the afternoon.<br>我们下午开车出去兜风。<br>",
243,3000字,driver,"駕駛員,司機;趕車者;馬車夫","n.驾驶员；司机；驱动器<br><br><i>1</i>. The <em><em>driver</em></em> slacked up on the gas pedal.<br>驾驶员松开油门减速。<br><i>2</i>. A good <em><em>driver</em></em> keeps his eye on the road.<br>好的驾驶员会注意看路。<br><i>3</i>. I'm a hopeless <em><em>driver</em></em>, but the examiner let me through.<br>我开车的技术糟透了，但考官让我及格了。<br><i>4</i>. The <em><em>driver</em></em> was not to blame for the accident.<br>这次事故怪不着司机。<br>",
244,3000字,drop,(一)滴[C],"vt.落下；跌倒；下降；放弃；漏掉；断绝关系<br>n.滴；微量；减少；滴状物<br><br><i>1</i>. She <em><em>drop</em></em>ped to safety from the burning building.<br>她从失火的建筑物上坠落到安全的地方.<br><i>2</i>. He <em><em>drop</em></em>ped off from his bike.<br>他从自行车上跌下来。<br><i>3</i>. In the winter the temperature often <em><em>drop</em></em>s below freezing.<br>冬天的时候,温度往往会降到冰点以下。<br><i>4</i>. I decided to <em><em>drop</em></em> chemistry and take biology instead.<br>我决定放弃化学,改学生物。<br><i>5</i>. Unconsciously, a <em><em>drop</em></em> of tear drips on his lips.<br>不知不觉,一滴泪水滴在他唇上。<br>",
245,3000字,dry,乾的;乾燥的,"adj.干的；干燥的；干旱的；口渴的；枯燥的<br>v.（使）变干<br><br><i>1</i>. The soil is too <em><em>dry</em></em> for planting.<br>土太干了，不能种东西。<br><i>2</i>. After these <em><em>dry</em></em> days, everyone hopes for rain.<br>干燥的天气之后，人人都希望下雨。<br><i>3</i>. We should prepare for more <em><em>dry</em></em> weather.<br>我们应该为更干旱的天气做准备。<br><i>4</i>. I always feel <em><em>dry</em></em> in this hot weather.<br>遇到这种炎热天气我总感到口渴。<br><i>5</i>. The bread will <em><em>dry</em></em> out if it is left on the table.<br>不要把面包放在桌上，它会变干的。<br>",
246,3000字,during,在…的整個期間,"prep.在 ... 期间<br><br><i>1</i>. He swims every day <em><em>during</em></em> the summer.<br>他夏天每天游泳。<br><i>2</i>. The thief broke into the house <em><em>during</em></em> the night.<br>小偷在夜间破门进入住宅。<br><i>3</i>. He was born in China <em><em>during</em></em> World War II and educated in England.<br>他在二次大战期间生于中国,后来在英国受。<br>",
247,3000字,each,(兩個或兩個以上人或物中的)各;各自的;每,pron.每个；个人；个自<br>adj.每；每个<br>adv.每个<br><br><i>1</i>. We <em><em>each</em></em> have our private views about it.<br>我们每个人对这件事都有自己的看法。<br><i>2</i>. I asked all the children and <em><em>each</em></em> told a different story.<br>我问过所有的孩子，每个人的说法都不一样。<br><i>3</i>. Each of them had his little local personal history.<br>他们每一个人都有过一段默默无闻的个人历史。<br><i>4</i>. We <em><em>each</em></em> paid our share of the bill for the meal.<br>我们各自付了自己应付的那份饭钱。<br><i>5</i>. Each day passed without any news.<br>每天都没有任何消息.<br>,
248,3000字,ear,耳[C],"n.听觉；耳朵；倾听<br>n.麦穗<br>vi.抽穗<br><br><i>1</i>. She plays the piano entirely by <em><em>ear</em></em>.<br>他演奏钢琴完全凭听觉记忆,不用乐谱。<br><i>2</i>. If this news ever reaches her <em><em>ear</em></em>s, she'll be furious.<br>这个消息万一传到她的耳朵里，她一定得大发雷霆。<br><i>3</i>. He gave the boy's <em><em>ear</em></em> a painful tweak.<br>他用力拧了一下那男孩的耳朵。<br><i>4</i>. The dog's <em><em>ear</em></em> pricked up at the sound.<br>狗听到声音后竖起了耳朵。<br><i>5</i>. Some people like eating the <em><em>ear</em></em> of wheat.<br>有些人喜欢吃麦穗。<br><i>6</i>. The corn will soon <em><em>ear</em></em>.<br>玉米不久就要结穗了。<br>",
249,3000字,early,"早的;提早的;早產的,早熟的","adv.早<br>adj.早<br><br><i>1</i>. They figured on your arriving <em><em>early</em></em>.<br>他们预料你会早到。<br><i>2</i>. The apple trees are fruiting <em><em>early</em></em> this year.<br>今年苹果树很早结果。<br><i>3</i>. Could you come back home <em><em>early</em></em> this evening?<br>今天晚上你能早回家吗？<br><i>4</i>. John will doubtless come <em><em>early</em></em> as he always does.<br>约翰无疑会像平时一样很早就来。<br><i>5</i>. It's too <em><em>early</em></em> for getting up.<br>现在起床还太早。<br>",
250,3000字,earth,(常大寫)地球[the S],n.地球；泥土；世间<br><br><i>1</i>. The moon goes round the <em><em>earth</em></em>.<br>月亮绕着地球转。<br><i>2</i>. What percentage of the <em><em>earth</em></em> is covered by oceans?<br>地球上百分之多少被海水覆盖着？<br><i>3</i>. He dived his hand into the <em><em>earth</em></em>.<br>他将手插入泥土中。<br><i>4</i>. The machine cast up a big heap of <em><em>earth</em></em>.<br>机器卷起了一大堆泥土。<br>,
251,3000字,east,"東,東方[the S]","adj.东方的<br>adv.向东方<br>n.东方；东部<br><br><i>1</i>. Take the <em><em>east</em></em> road, it's the shortest way.<br>走东边这条路吧,这是最近的路。<br><i>2</i>. He traveled <em><em>east</em></em>.<br>他向东旅行。<br><i>3</i>. China is in the <em><em>east</em></em> of the world.<br>中国位于世界的东方。<br><i>4</i>. The sun rises in the <em><em>east</em></em> and sets in the west.<br>太阳从东方升起，在西方落下。<br>",
252,3000字,easy,容易的;不費力的[ to-v],"adj.容易的；轻松的；不费力的；舒适的；安逸的；轻微的；随和的；无约束的<br><br><i>1</i>. It's not <em><em>easy</em></em> to rid oneself of a habit.<br>要改掉一个习惯是不容易的。<br><i>2</i>. Her movements were <em><em>easy</em></em> and graceful.<br>她的动作轻松而优雅。<br><i>3</i>. It was not <em><em>easy</em></em> for me to get the rusty nail out.<br>我好不容易才拔出这颗生锈的钉子。<br><i>4</i>. He has stopped working and leads a very <em><em>easy</em></em> life now.<br>他现在不做事了,过着很舒服的日子。<br>",
253,3000字,eat,吃;喝,"v.吃；吃饭；喝<br><br><i>1</i>. I often <em><em>eat</em></em> oatmeal as breakfast.<br>我经常吃燕麦粥当早饭。<br><i>2</i>. Do you always <em><em>eat</em></em> lunch at school?<br>你总是在学校吃午饭吗？<br><i>3</i>. If you <em><em>eat</em></em> too much chocolate you'll get fat.<br>吃巧克力太多会发胖。<br><i>4</i>. The Chinese <em><em>eat</em></em> with chopsticks.<br>中国人用筷子吃饭。<br>",
254,3000字,egg,蛋;雞蛋[C][U],"n.蛋；卵；蛋形物<br>vt.用蛋覆盖；向 ... 扔蛋<br>vt.怂恿；煽动<br><br><i>1</i>. The <em><em>egg</em></em> nestled in the long grass.<br>蛋隐藏在高草中。<br><i>2</i>. The black hen lays an <em><em>egg</em></em> a day.<br>那只黑母鸡每天生一个蛋。<br><i>3</i>. The tadpole hatches from the <em><em>egg</em></em>.<br>蝌蚪从卵中孵化出来。<br><i>4</i>. The <em><em>egg</em></em> hatches into a larva (caterpillar).<br>卵孵化成了幼虫（毛虫）。<br><i>5</i>. Egg mayonnaise is made with mayonnaise and hard-boiled <em><em>egg</em></em>s.<br>鸡蛋美乃滋是用蛋黄酱和煮老的鸡蛋做成的。<br><i>6</i>. Don't let him <em><em>egg</em></em> you on--you shouldn't take any notice of him.<br>别听他煽动，你根本就不要去理睬他。<br>",
255,3000字,eight,八[C],"
<span class='g b'>Define <span class='k'>eight</span> :</span><span class='p'> [eɪt]</span><br><div id=""e"">num.八<br>n.八人划船队<br>adj.八个的</div><br><div class=""t"">例句与用法:</div><div id=""s""><i>1</i>. I'm hardly functional if I don't get <em><em>eight</em></em> hours' sleep!<br>我要是不睡上八个小时就无法工作。<br><i>2</i>. You are restricted to <em><em>eight</em></em> liters of duty-free wine.<br>携带的免税酒不得超过八升。<br><i>3</i>. There are <em><em>eight</em></em> forts in this section of the Great Wall.<br>这一段长城有八个垛口。<br><i>4</i>. Five members voted for the proposal, <em><em>eight</em></em> voted against, and two abstained.<br>对于这项建议，五人投票赞成，八人反对，两人弃权。<br></div><br><div align=""center""><a href=""https://dict.cn/eight"" target=""_blank""><font color=gray>查看详细解释</font></a></div>",
256,3000字,eighteen,十八[C],num.十八<br><br><i>1</i>. There are <em><em>eighteen</em></em> students in that classroom.<br>那教室里有十八个学生。<br><i>2</i>. He entered a university at the age of <em><em>eighteen</em></em>.<br>他十八岁上大学。<br>,
257,3000字,eighth,"(與the連用)第八的,第八個的","n.八分之一<br>num.第八<br><br><i>1</i>. He was the <em><em>eighth</em></em> to break the record.<br>他是打破该记录的第八人。<br><i>2</i>. Eighth, we must go on opposing Han chauvinism.<br>第八，要继续反对大汉族主义。<br>",
258,3000字,eighty,八十[C],num.八十<br><br><i>1</i>. The old man was on the verge of <em><em>eighty</em></em>.<br>那老人已年近八十。<br><i>2</i>. His grandfather must now be getting on for <em><em>eighty</em></em>.<br>他祖父现在一定快八十岁了。<br>,
259,3000字,either,(兩者之中)任一的,"adj.任一的；两方的<br>pron.任一<br>adv.也（用于否定句中）<br>conj.或者（常用于either...or...的结构中）<br><br><i>1</i>. The thief was put in the police car with a policeman on <em><em>either</em></em> side of him.<br>窃贼被送到警车上，身旁各坐着一个警察。<br><i>2</i>. You may take <em><em>either</em></em> of the roads.<br>两条路你随便走哪一条。<br><i>3</i>. It's not as heavy, <em><em>either</em></em>.<br>这也不那么重。<br><i>4</i>. If you do not go, I shall not go <em><em>either</em></em>.<br>你不去，我也不去。<br><i>5</i>. I will go on business <em><em>either</em></em> this week or next week.<br>我将在这星期或下星期出差。<br>",
260,3000字,elementary school,小學,小学<br><br><i>1</i>. I started primary school when I was 5 years old.<br>我五岁时开始读小学。<br><i>2</i>. Primary school teachers use a lot of visual aids.<br>小学教师使用大量的视觉教具。<br>,
261,3000字,elephant,【動】象[C],,
262,3000字,eleven,"十一的,十一個的",,
263,3000字,else,"(用於疑問詞,不定代名詞後)其他,另外",,
264,3000字,e-mail,#NAME?,,
265,3000字,end,"末端;盡頭;最後部分,末尾",,
266,3000字,English,英格蘭的;英國的,,
267,3000字,enjoy,欣賞;享受;喜愛[+v-ing],,
268,3000字,enough,"足夠的,充足的",,
269,3000字,enter,進入,,
270,3000字,eraser,擦除器(如黑板擦、橡皮擦等)[C],,
271,3000字,eve,"(通常大寫)(節日等的)前夜,前夕[U]",,
272,3000字,even,"adv. 甚至; a. 平的,平坦的,平滑的[(+with)]",,
273,3000字,evening,傍晚;晚上[C][U],,
274,3000字,ever,"(多用於疑問句,否定句和表示條件和比較的附屬子句)在任何時候;從來;至今",,
275,3000字,every,"每一,每個;一切的,全部的",,
276,3000字,everyone,"(everybody)每人,人人",,
277,3000字,everything,"每件事,事事,一切事物",,
278,3000字,example,例子;樣本;樣品[(+of)],,
279,3000字,excellent,出色的;傑出的;優等的[Z],,
280,3000字,except,除…之外,,
281,3000字,excited,興奮的;激動的[(+about/at/over)][+to-v],,
282,3000字,exciting,令人興奮的;令人激動的,,
283,3000字,excuse,原諒[(+for)],,
284,3000字,exercise,"運動,鍛鍊[C][U]",,
285,3000字,expensive,高價的;昂貴的;花錢的[+to-v],,
286,3000字,experience,"經驗,體驗[U][(+of/in)]",,
287,3000字,eye,眼睛,,
288,3000字,face,"臉,面孔[C]",,
289,3000字,fact,事實[C][+(that)],,
290,3000字,factory,"工廠,製造廠",,
291,3000字,fall,落下;跌倒[C][(+from)],,
292,3000字,family,"家,家庭;家人[C][G]",,
293,3000字,famous,"著名的,出名的",,
294,3000字,fan,扇子;風扇;鼓風機,,
295,3000字,farm,農場;飼養場;畜牧場,,
296,3000字,farmer,農夫;農場主;農場經營者[C],,
297,3000字,fast,快的;迅速的;速度快的,,
298,3000字,fat,肥胖的,,
299,3000字,father,"(dad, daddy)父親,父",,
300,3000字,favorite,"特別喜愛的人(或物);受寵的人,親信",,
301,3000字,February,二月,,
302,3000字,feel,"摸,觸;感受[+wh-]",,
303,3000字,festival,"節日,喜慶日[C]",,
304,3000字,few,很少數的;幾乎沒有的,,
305,3000字,fifteen,十五的;十五個的,,
306,3000字,fifth,第五的,,
307,3000字,fifty,五十的;五十個的,,
308,3000字,fill,裝滿;填滿;使充滿[(+with)],,
309,3000字,finally,"最後,終於",,
310,3000字,find,"找到,尋得;發現;碰上[O1][+(that)]",,
311,3000字,fine,"美好的,優秀的;傑出的[B]",,
312,3000字,finger,手指;大拇指以外的手指,,
313,3000字,finish,結束;完成[+v-ing],,
314,3000字,fire,火[U],,
315,3000字,first,第一的;第一流的;(地位等)最高的,,
316,3000字,fish,魚[M][C];魚類[C],,
317,3000字,fisherman,"漁人,漁夫",,
318,3000字,five,五的;五個的,,
319,3000字,fix,"使固定;縛緊,釘牢;牢記",,
320,3000字,floor,"地板,地面[C]",,
321,3000字,flower,花;花卉;開花植物[C],,
322,3000字,fly,飛;飛行,,
323,3000字,follow,跟隨,,
324,3000字,food,"食物,食品[U][C]",,
325,3000字,foot,"腳,足[C]",,
326,3000字,for,"為,為了",,
327,3000字,foreign,外國的,,
328,3000字,foreigner,外國人[C],,
329,3000字,forget,忘記[+to-v][+v-ing][+(that)][+wh-],,
330,3000字,fork,叉子,,
331,3000字,forty,四十的;四十個的,,
332,3000字,four,四的;四個的,,
333,3000字,fourteen,十四[C],,
334,3000字,fourth,(與the連用)第四的;第四個的,,
335,3000字,free,自由的;不受控制的,,
336,3000字,fresh,新鮮的;未經加工處理過的,,
337,3000字,Friday,星期五[C][U],,
338,3000字,friend,"(可用作稱呼)朋友,友人",,
339,3000字,friendly,"友好的,親切的[(+to/towards)]",,
340,3000字,from,"從…起,始於",,
341,3000字,front,前面;正面[C][(+of)],,
342,3000字,fruit,水果[C][U],,
343,3000字,full,滿的;充滿的[(+of)],,
344,3000字,fun,"娛樂,樂趣",,
345,3000字,funny,有趣的;滑稽可笑的;愛開玩笑的,,
346,3000字,future,"未來,將來[the S]",,
347,3000字,game,遊戲;運動;遊戲(或運動)器具[C],,
348,3000字,garbage,【主美】垃圾;剩菜;廢物,,
349,3000字,garden,花園;菜園;果園;庭院[C],,
350,3000字,gas,氣體[U][C],,
351,3000字,get,獲得;得到;贏得,,
352,3000字,gift,禮品[C],,
353,3000字,girl,"姑娘,少女","
<span class='g b'>Define <span class='k'>girl</span> :</span><span class='p'> [ɡɜːrl]</span><br><div id=""e"">n.女孩；少女；姑娘；女儿；女职员；女朋友；老婆；老母亲；老妇人<br>adj.女的；女孩的；雌性的</div><br><div class=""t"">例句与用法:</div><div id=""s""><i>1</i>. The <em><em>girl</em></em> has a light hand for knitting.<br>这女孩手巧，精于编织。<br><i>2</i>. My father left me forever when I was only a <em><em>girl</em></em>.<br>在我还是小女孩时,我父亲就已去世了。<br><i>3</i>. This picture represents a <em><em>girl</em></em> playing the piano.<br>这幅画描绘一个在弹钢琴的少女。<br><i>4</i>. The <em><em>girl</em></em> stood shivering with cold on the doorstep.<br>那姑娘站在门前的台阶上,冷得直打哆嗦。<br><i>5</i>. There are 25 <em><em>girl</em></em> students in our class as against only 5 in Class Two.<br>我们班有25名女学生，而二班只有5名。<br></div><br><div class=""t"">词形变化:</div><div id=""t"">名词: <i>girlhood</i> </div></div><br><div align=""center""><a href=""https://dict.cn/girl"" target=""_blank""><font color=gray>查看详细解释</font></a></div>",
354,3000字,give,給;送給[O1],,
355,3000字,glad,"高興的,快活的[F][(+at/about/for/of)][+to-v][+(that)]",,
356,3000字,glass,玻璃[U],,
357,3000字,glove,手套,,
358,3000字,go,去;離去,,
359,3000字,goat,山羊,,
360,3000字,good,"好的,令人滿意的",,
361,3000字,good-bye,"(goodbye, bye)再見!",,
362,3000字,grade,等級;級別;階段,,
363,3000字,grandfather,(grandpa)祖父;外祖父,,
364,3000字,grandmother,(grandma)祖母;外祖母,,
365,3000字,grass,(青)草;牧草[U][C],,
366,3000字,gray,灰色的;偏灰的,,
367,3000字,great,"(數量,規模等)大的,巨大的",,
368,3000字,green,綠的;青蔥的,,
369,3000字,ground,地面[the S],,
370,3000字,group,群;組;類[C][G],,
371,3000字,grow,"成長,生長;發育",,
372,3000字,guess,猜測;推測[+(that)][+wh-][O2],,
373,3000字,habit,習慣[C][U],,
374,3000字,hair,"毛髮;獸毛[C][U], 頭髮[U][C], 些微,一點兒[S]",,
375,3000字,half,"一半,二分之一[U][C]",,
376,3000字,ham,火腿[U][C],,
377,3000字,hamburger,漢堡牛排[C],,
378,3000字,hand,手,,
379,3000字,handsome,"(男子)英俊的;(女子)健美的,結實的",,
380,3000字,happen,(偶然)發生,,
381,3000字,happy,(感到)高興的;樂意的[F][(+at/about)][+to-v][+that],,
382,3000字,hard,"硬的,堅固的",,
383,3000字,hard-working,"努力工作的,勤勉的",,
384,3000字,hat,(有邊的)帽子[C],,
385,3000字,hate,"仇恨,憎恨",,
386,3000字,have,"(has, had)(加過去分詞,構成完成時態)已經;曾經",,
387,3000字,he,"(him, his, himself)他",,
388,3000字,head,頭,,
389,3000字,headache,頭痛,,
390,3000字,health,健康[U],,
391,3000字,healthy,健康的;健全的,,
392,3000字,hear,聽見;聽[W][O3][O4][O7],,
